$10,000 Gold?	L’or à 10.000 dollars l’once ?
SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.	SAN FRANCISCO – Il n’a jamais été facile d’avoir une discussion rationnelle sur la valeur du métal jaune.
Lately, with gold prices up more than 300% over the last decade, it is harder than ever.	Et aujourd’hui, alors que le cours de l’or a augmenté de 300 pour cent au cours de la dernière décennie, c’est plus difficile que jamais.
Just last December, fellow economists Martin Feldstein and Nouriel Roubini each penned op-eds bravely questioning bullish market sentiment, sensibly pointing out gold’s risks.	En décembre dernier, mes collègues économistes Martin Feldstein et Nouriel Roubini ont chacun publié une tribune libre dans laquelle ils doutaient courageusement du marché haussier, soulignant de manière sensée les risques liés à l’or.
Wouldn’t you know it?	Mais devinez ce qui s’est passé ?
Since their articles appeared, the price of gold has moved up still further. Gold prices even hit a record-high $1,300 recently.	Depuis la parution de leurs articles, le cours de l’or a encore grimpé, pour atteindre récemment un plus haut historique de 1300 dollars l’once.
Last December, many gold bugs were arguing that the price was inevitably headed for $2,000.	En décembre dernier, plusieurs investisseurs dans le métal jaune estimaient que l’once atteindrait inévitablement les 2000 dollars.
Now, emboldened by continuing appreciation, some are suggesting that gold could be headed even higher than that.	Aujourd’hui, encouragés par son appréciation constante, certains suggèrent qu’il pourrait grimper encore.
One successful gold investor recently explained to me that stock prices languished for a more than a decade before the Dow Jones index crossed the 1,000 mark in the early 1980’s.	Un particulier qui a investi avec succès dans le métal précieux m’a récemment expliqué que les cours de la Bourse avaient stagné pendant une décennie avant que l’indice Dow Jones passe la barre des 1000 points.
Since then, the index has climbed above 10,000.	Depuis lors, le Dow Jones a dépassé la barre des 10.000 points.
Now that gold has crossed the magic $1,000 barrier, why can’t it increase ten-fold, too?	Maintenant que l’or a dépassé le seuil symbolique des 1000 dollars l’once, sa valeur ne pourrait-elle pas être elle aussi multipliée par dix ?
Admittedly, getting to a much higher price for gold is not quite the leap of imagination that it seems.	Il faut bien admettre qu’un cours bien plus élevé de l’or n’est pas aussi fantaisiste qu’il n’y paraît.
After adjusting for inflation, today’s price is nowhere near the all-time high of January 1980. Back then, gold hit $850, or well over $2,000 in today’s dollars.	Après ajustement à l’inflation, le prix actuel est très loin du plus haut de janvier 1980, où il a atteint 850 dollars l’once, soit bien plus que 2000 dollars en dollars actuels.
But January 1980 was arguably a “freak peak” during a period of heightened geo-political instability.	Mais janvier 1980 était un pic aberrant lié à une instabilité géopolitique marquée.
At $1,300, today’s price is probably more than double very long-term, inflation-adjusted, average gold prices.	A 1300 dollars l’once, le cours actuel est sans doute plus du double du prix moyen à très long terme ajusté à l’inflation.
So what could justify another huge increase in gold prices from here?	A partir de là, qu’est-ce qui pourrait justifier une appréciation astronomique du cours de l’or ?
One answer, of course, is a complete collapse of the US dollar.	Une réponse est bien sûr un effondrement complet du dollar.
With soaring deficits, and a rudderless fiscal policy, one does wonder whether a populist administration might recklessly turn to the printing press.	Compte tenu des déficits en hausse constante et de la politique fiscale erratique du gouvernement américain, on peut se demander si une administration populiste ne pourrait être tentée à l’avenir de se tourner imprudemment vers la planche à billets.
And if you are really worried about that, gold might indeed be the most reliable hedge.	Si l’on s’inquiète de cette possibilité, l’or pourrait en effet être la couverture la plus fiable.
Sure, some might argue that inflation-indexed bonds offer a better and more direct inflation hedge than gold.	On peut aussi dire que les obligations indexées à l’inflation constituent une meilleure et plus directe couverture contre l’inflation que l’or.
But gold bugs are right to worry about whether the government will honor its commitments under more extreme circumstances.	Mais les investisseurs dans le métal jaune sont en droit de se demander si le gouvernement honorera ses engagements dans des circonstances plus extrêmes.
In fact, as Carmen Reinhart and I discuss in our recent book on the history of financial crises, This Time is Different, cash-strapped governments will often forcibly convert indexed debt to non-indexed debt, precisely so that its value might be inflated away.	En fait, comme Carmen Reinhart et moi-même l’expliquons dans notre ouvrage récemment paru sur l’histoire des crises financières, This Time is Different, les gouvernements en mal de liquidités peuvent être tentés de convertir une dette indexée en une dette non indexée de façon à ce que son montant soit résorbé par l’inflation.
Even the United States abrogated indexation clauses in bond contracts during the Great Depression of the 1930’s.	Même les Etats-Unis ont abrogé les clauses d’indexation des obligations lors de la Grande dépression des années 1930.
So it can happen anywhere.	Cela peut donc se produire n’importe où.
Even so, the fact that very high inflation is possible does not make it probable, so one should be cautious in arguing that higher gold prices are being driven by inflation expectations.	Il n’en reste pas moins que la possibilité d’une très forte inflation ne veut pas dire qu’elle est probable, et il faut donc faire preuve d’une certaine prudence en affirmant que l’envolée du cours de l’or est dû à des attentes inflationnistes.
